cod ;f_Hz;GMPaH;AnH;p200_%;p4_%;p38_%;p34_%;vv_%;vbe_%;vma_%;vfa_%;Elab_Mpa;dm_graus
4.3;1297286.709;501.0983456;21.67773521;0.083;0.461;0.168;0;0.04;0.103784471;0.143784471;0.72180584;34979.8517;3.405234857
5.01;1.94896E-05;0.019270563;62.63898572;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;179.8827328;24.32125406
5.02;9.7448E-05;0.05522219;62.35164586;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;273.7269114;28.00972637
5.03;0.000194896;0.085496122;62.15515691;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;337.0778784;29.30466809
5.04;0.000779584;0.198831591;61.55089315;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;533.8040319;30.85715944
5.05;0.00097448;0.226897944;61.41883312;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;577.4305728;30.94394095
5.06;0.001948959;0.339633614;60.92868195;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;741.5392988;30.88919238
5.07;0.003897918;0.503165397;60.29478251;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;958.7481155;30.34193715
5.08;0.004872398;0.569781497;60.05495645;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;1042.316414;30.06567088
5.09;0.007795836;0.737765922;59.48553904;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;1243.62903;29.33807914
5.1;0.038979181;1.723944378;56.76497812;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;2257.579714;25.70544209
5.11;0.064965301;2.230873959;55.62608051;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;2707.142243;24.32914314
5.12;0.077958361;2.44257274;55.18719319;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;2884.511803;23.82667694
5.13;0.194895903;3.81143874;52.7452304;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;3917.332367;21.28063317
5.14;0.324826506;4.847163192;51.24178481;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;4597.219457;19.88664662
5.15;0.649653011;6.658444924;49.10311827;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;5635.451689;18.06979918
5.16;3.248265057;13.39818638;44.18580222;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;8480.062874;14.32428967
5.17;6.496530114;17.81867643;42.29928481;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;9834.066858;12.939694
5.18;16.24132528;25.60371356;40.15671803;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;11671.44986;11.31656679
5.19;16.24132528;25.60371356;40.15671803;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;11671.44986;11.31656679
5.2;81.20662642;46.56276778;37.43061695;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;14832.72952;8.979358749
5.21;162.4132528;59.36323301;36.62045465;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;16103.7389;8.147194013
5.22;812.0662642;100.9771487;35.36402994;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;18727.85533;6.543587628
5.23;1624.132528;125.2199254;35.02053462;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;19699.42511;5.972023853
5.24;1948.959034;132.3368794;34.94485539;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;19938.67156;5.831929652
5.25;4060.331321;164.4225148;34.69085716;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;20834.06341;5.307159622
5.26;9744.79517;210.6569973;34.47267581;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;21765.24352;4.755063987
5.27;19489.59034;254.1894652;34.34823276;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;22403.91329;4.367582563
5.28;97447.9517;382.6310005;34.16741468;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;23591.85245;3.608275946
5.29;194895.9034;451.2447978;34.12035816;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;23994.11326;3.332018847
5.3;487239.7585;555.6775687;34.07609586;0.06816;0.53027;0.23219;0;0.04;0.105920471;0.145920471;0.725878077;24441.91083;3.005748437
