exec,otimizador,repeticao,parte,modelo,RMSE,R2
285,L-BFGS-B,29,6,ch,6405.655544,0.754175034
286,L-BFGS-B,29,7,ch,6850.602153,0.723675949
287,L-BFGS-B,29,8,ch,8057.219289,0.695120746
288,L-BFGS-B,29,9,ch,5568.392582,0.77530438
289,L-BFGS-B,29,10,ch,7338.364419,0.713848205
290,L-BFGS-B,30,1,ch,5776.264547,0.773561433
291,L-BFGS-B,30,2,ch,6629.488398,0.727610831
292,L-BFGS-B,30,3,ch,6416.503651,0.736490105
293,L-BFGS-B,30,4,ch,6698.150477,0.741646226
294,L-BFGS-B,30,5,ch,9683.746706,0.599529295
295,L-BFGS-B,30,6,ch,7457.720825,0.699755265
296,L-BFGS-B,30,7,ch,7646.205154,0.694087822
297,L-BFGS-B,30,8,ch,5795.378883,0.789494848
298,L-BFGS-B,30,9,ch,5923.558042,0.777545215
299,L-BFGS-B,30,10,ch,7469.217002,0.710336221
300,L-BFGS-B,1,1,sak,0.145236677,0.95527844
301,L-BFGS-B,1,2,sak,0.127035044,0.969384322
302,L-BFGS-B,1,3,sak,0.1423708,0.96001545
303,L-BFGS-B,1,4,sak,0.161995841,0.954435819
304,L-BFGS-B,1,5,sak,0.1342356,0.960108525
305,L-BFGS-B,1,6,sak,0.145199672,0.953673119
306,L-BFGS-B,1,7,sak,0.134595264,0.962726796
307,L-BFGS-B,1,8,sak,0.148514356,0.955513936
308,L-BFGS-B,1,9,sak,0.146247672,0.962754605
309,L-BFGS-B,1,10,sak,0.143375739,0.967545647
310,L-BFGS-B,2,1,sak,0.151070646,0.957603913
311,L-BFGS-B,2,2,sak,0.136359998,0.962320751
312,L-BFGS-B,2,3,sak,0.14237157,0.959475051
313,L-BFGS-B,2,4,sak,0.130628226,0.964457501
314,L-BFGS-B,2,5,sak,0.155833958,0.955799566
315,L-BFGS-B,2,6,sak,0.134694387,0.957526187
316,L-BFGS-B,2,7,sak,0.148070471,0.956046575
317,L-BFGS-B,2,8,sak,0.129034681,0.968802979
318,L-BFGS-B,2,9,sak,0.143540081,0.961845414
319,L-BFGS-B,2,10,sak,0.157191933,0.959717207
320,L-BFGS-B,3,1,sak,0.142554859,0.957864303
321,L-BFGS-B,3,2,sak,0.154423442,0.955506905
322,L-BFGS-B,3,3,sak,0.141088393,0.96414278
323,L-BFGS-B,3,4,sak,0.13225776,0.965525287
324,L-BFGS-B,3,5,sak,0.143880017,0.961432972
325,L-BFGS-B,3,6,sak,0.120744121,0.970106803
326,L-BFGS-B,3,7,sak,0.149314222,0.957719892
327,L-BFGS-B,3,8,sak,0.167874282,0.949009741
328,L-BFGS-B,3,9,sak,0.143244274,0.962717375
329,L-BFGS-B,3,10,sak,0.129106144,0.963195544
330,L-BFGS-B,4,1,sak,0.141057387,0.960009654
331,L-BFGS-B,4,2,sak,0.148390494,0.95883067
332,L-BFGS-B,4,3,sak,0.150424692,0.951380663
333,L-BFGS-B,4,4,sak,0.151742348,0.959383645
334,L-BFGS-B,4,5,sak,0.144031942,0.959619188
335,L-BFGS-B,4,6,sak,0.137196484,0.961674081
336,L-BFGS-B,4,7,sak,0.139767626,0.966994984
337,L-BFGS-B,4,8,sak,0.122943881,0.970827905
338,L-BFGS-B,4,9,sak,0.141541441,0.955767562
339,L-BFGS-B,4,10,sak,0.152999622,0.95599812
340,L-BFGS-B,5,1,sak,0.148917427,0.95685585
341,L-BFGS-B,5,2,sak,0.144149395,0.958152775
342,L-BFGS-B,5,3,sak,0.135012916,0.960813299
343,L-BFGS-B,5,4,sak,0.136105703,0.963466515
344,L-BFGS-B,5,5,sak,0.144462481,0.965503554
345,L-BFGS-B,5,6,sak,0.144221365,0.958893798
346,L-BFGS-B,5,7,sak,0.15411127,0.95765536
347,L-BFGS-B,5,8,sak,0.139333559,0.965360388
348,L-BFGS-B,5,9,sak,0.135037111,0.955969759
349,L-BFGS-B,5,10,sak,0.15003138,0.958872413
350,L-BFGS-B,6,1,sak,0.136258349,0.962700243
351,L-BFGS-B,6,2,sak,0.143767928,0.959276006
352,L-BFGS-B,6,3,sak,0.135057244,0.96677193
353,L-BFGS-B,6,4,sak,0.172511862,0.94946221
354,L-BFGS-B,6,5,sak,0.145033761,0.960941612
355,L-BFGS-B,6,6,sak,0.141886737,0.958740485
356,L-BFGS-B,6,7,sak,0.134468054,0.96619249
357,L-BFGS-B,6,8,sak,0.131971903,0.964103644
358,L-BFGS-B,6,9,sak,0.146609804,0.960359873
359,L-BFGS-B,6,10,sak,0.140491002,0.955608098
360,L-BFGS-B,7,1,sak,0.148143575,0.957772097
361,L-BFGS-B,7,2,sak,0.143187586,0.961916262
362,L-BFGS-B,7,3,sak,0.124749982,0.96820758
363,L-BFGS-B,7,4,sak,0.129016215,0.968844929
364,L-BFGS-B,7,5,sak,0.14451412,0.961223988
365,L-BFGS-B,7,6,sak,0.151143547,0.957386905
366,L-BFGS-B,7,7,sak,0.138229201,0.958879632
367,L-BFGS-B,7,8,sak,0.13690368,0.962485726
368,L-BFGS-B,7,9,sak,0.14838882,0.96070107
369,L-BFGS-B,7,10,sak,0.16450238,0.945722953
