Bairros;Densidade habitacional territorial;Percentual de area urbanizada;Grau de verticalizacao;Percentual area pracas;Percentual da area construida que e residencial;Percentual de imoveis alugados;Postos de trabalho – comercio;Postos de trabalho – servicos;Postos de trabalho – indústria de transformacao;Densidade domiciliar;Percentual domicilios recenseados ocupados;Indice desenvolvimento social;Percentual domicilios abaixo da linha de pobreza;Percentual da populacao vivendo em favelas;Homicidio doloso;Roubo a transeunte;Roubo de veiculos;Furto de veiculos;Menor Distancia centralidade tipo 1;Menor Distancia centralidade tipo 2;Menor Distancia centralidade tipo 3;Distância praia fora da baia mais proxima;Indice de Qualidade praia;Indice de transporte
Inhauma;0.26833016;0.9787234;0.09977887;0.12933754;0.58742515;0.3093413;0.27808651;0.17020021;0.14063714;0.69172932;0.8497663;0.32513661;0.46982759;0.10465153;0.24107143;0.30302096;0.3125;0.18164436;0.10941476;0.3538961;0.15547703;0.4;0;0.57142857
Inhoaiba;0.15775969;0.72340426;0.01656185;0.11356467;0.89758922;0.0274338;0.05895164;0.03982839;0.01408314;0.84962406;0.81860672;0.24590164;0.75538793;0.27524482;0.85714286;0.55332922;0.72748162;1;0.94656489;0.01623377;0.50530035;0.77272727;0;0.42857143
Ipanema;0.28381422;0.4893617;0.6679541;0.3615142;0.82780723;0.39298863;0.45306398;0.29406507;0.0282634;0.14285714;0.58335188;0.86612022;0.32165948;0.07297625;0.00892857;0.21300863;0.01332721;0.07648184;0.07379135;0.20454545;0.13780919;0;0.85333333;0.57142857
Iraja;0.26369358;0.94680851;0.12661112;0.09400631;0.72106029;0.30933907;0.25180234;0.08117626;0.03321678;0.57894737;0.85911418;0.44262295;0.22575431;0.04462821;0.39285714;0.5095561;0.6953125;0.73996176;0.15267176;0.3538961;0.24381625;0.48636364;0;0.85714286
Itanhanga;0.05596644;0.27659574;0.06194249;0.0511041;0.87161353;0.84374263;0.11362271;0.02495531;0.00602176;0.65413534;0.7489428;0.20218579;0.29849138;0.76842733;0.23214286;0.30826141;0.10891544;0.91395793;0.22900763;0.23051948;0.36749117;0.19090909;0;0
Jacare;0.22456038;1;0.1196162;0.02902208;0.34760032;0.43231679;0.0664614;0.08185556;0.23640249;0.76691729;0.79612731;0.32240437;0.7268319;0.17444156;0.33035714;0.30147965;0.38740809;0.12619503;0.11959288;0.36688312;0.18021201;0.4;0;0
Jacarepagua;0.03858158;0.20212766;0.09242571;0.05425868;0.6138282;0.78060837;0.22439171;0.19808724;0.42589355;0.61654135;0.73670154;0.27595628;0.38200431;0.61798449;0.5625;0.36528977;0.16498162;0.34608031;0.32315522;0.15909091;0.50176678;0.32727273;0;0.28571429
Jacarezinho;0.8299412;1;0.07098038;0.01324921;0.22794115;0.46432268;0.10078102;0.08487665;0.10227273;0.90977444;0.92855553;0.22131148;0.79094828;0.8569557;0.33035714;0.30147965;0.38740809;0.12619503;0.1475827;0.43831169;0.21908127;0.47727273;0;0.14285714
Jardim America;0.2614102;0.9893617;0.10531025;0.14132492;0.75150101;0.40838314;0.0918444;0.09742581;0.05001943;0.73684211;0.82060984;0.36612022;0.52640086;0.15401909;0.39285714;0.35110974;0.53262868;0.43594646;0.27226463;0.44155844;0.39575972;0.63181818;0;0
Jardim Botanico;0.13478409;0.60638298;0.2778808;0.14069401;0.7847468;0.29310783;0.07659958;0.17522345;0.01262626;0.32330827;0.81059426;0.8579235;0.15894397;0.05386588;0.02678571;0.0622688;0.02389706;0.11089866;0.17302799;0.26948052;0.204947;0.11818182;0;0
