,otimizador,repeticao,teste%,modelo,RMSE,R2
132,L-BFGS-B,13,0.15,ch,6904.736391309324,0.7257905990403588
133,L-BFGS-B,14,0.15,ch,5406.830596088623,0.7987261401505141
134,L-BFGS-B,15,0.15,ch,8322.885720095795,0.6607666368043206
135,L-BFGS-B,16,0.15,ch,7839.657762853767,0.6852274461352446
136,L-BFGS-B,17,0.15,ch,8217.643241773505,0.6616190939703931
137,L-BFGS-B,18,0.15,ch,6807.092009383577,0.7264498116378344
138,L-BFGS-B,19,0.15,ch,7754.759589539283,0.6933734892780361
139,L-BFGS-B,20,0.15,ch,7233.928577783727,0.7148257857008453
140,L-BFGS-B,21,0.15,ch,6790.250390314183,0.7199348918170176
141,L-BFGS-B,22,0.15,ch,7057.718668295931,0.7246463631381349
142,L-BFGS-B,23,0.15,ch,5588.386833031895,0.7965352987227747
143,L-BFGS-B,24,0.15,ch,6403.430537893869,0.7538620420774442
144,L-BFGS-B,25,0.15,ch,8042.879394624215,0.6814926941223609
145,L-BFGS-B,26,0.15,ch,7292.893389275819,0.7080045169206854
146,L-BFGS-B,27,0.15,ch,7546.138855346451,0.6932690043834253
147,L-BFGS-B,28,0.15,ch,7603.509591041567,0.6854729848770544
148,L-BFGS-B,29,0.15,ch,7444.746707909909,0.700488584727119
149,L-BFGS-B,30,0.15,ch,6305.543193755363,0.7454343168454918
150,L-BFGS-B,1,0.15,sak,0.1400800927337919,0.9586866251486569
151,L-BFGS-B,2,0.15,sak,0.1440794863013257,0.9611905979044089
152,L-BFGS-B,3,0.15,sak,0.14308883336530895,0.9593822649973717
153,L-BFGS-B,4,0.15,sak,0.12516716932127966,0.9658753631047663
154,L-BFGS-B,5,0.15,sak,0.14383017062091583,0.9628664987303279
155,L-BFGS-B,6,0.15,sak,0.14967421706745462,0.956913368180381
156,L-BFGS-B,7,0.15,sak,0.14190011364605506,0.9585883078171251
157,L-BFGS-B,8,0.15,sak,0.14604613557122334,0.9613254913919146
158,L-BFGS-B,9,0.15,sak,0.1413197782718122,0.9597025653618287
159,L-BFGS-B,10,0.15,sak,0.13985187672744287,0.9634849659212905
160,L-BFGS-B,11,0.15,sak,0.14150048788523337,0.964487503358345
161,L-BFGS-B,12,0.15,sak,0.14123499663011055,0.9627078959856886
162,L-BFGS-B,13,0.15,sak,0.15023243686704388,0.9594633639554485
163,L-BFGS-B,14,0.15,sak,0.1384919532145495,0.9660288693432073
164,L-BFGS-B,15,0.15,sak,0.14529721076642774,0.9586980746612256
